,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2022-12-19,5.6,-0.7,1.8,1.1,-6.2,-3.4,-5.6,58.6,0.0,0,0.0,,0,0,47.3,34.9,287.5,1017.2,44.3,15.9,58.0,5.0,3,10,2022-12-19T07:09:09,2022-12-19T16:13:42,0.88,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,F6999,72505914702,OXBM3"
1,"Boston, MA, United States",2022-12-20,4.4,-1.2,1.1,1.4,-6.8,-3.8,-6.4,57.6,0.0,0,0.0,,0,0,51.2,28.9,313.5,1026.0,20.4,16.0,68.4,5.8,3,10,2022-12-20T07:09:43,2022-12-20T16:14:09,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,F6999,72505914702,OXBM3"
2,"Boston, MA, United States",2022-12-21,3.9,-2.9,0.2,3.4,-7.0,-2.9,-5.5,66.1,0.0,0,0.0,,0,0,20.5,16.1,296.6,1031.4,33.1,16.0,64.8,5.5,3,10,2022-12-21T07:10:14,2022-12-21T16:14:37,0.94,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,F6999,72505914702,OXBM3"
3,"Boston, MA, United States",2022-12-22,7.2,-2.3,3.0,3.9,-4.6,-0.1,-0.8,76.1,2.768,100,20.83,rain,0,0,56.3,47.5,88.6,1030.2,84.8,15.3,31.5,2.9,2,10,2022-12-22T07:10:44,2022-12-22T16:15:08,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KOWD,72509854704,BLUM3,KBED,0518W,KBOS,72509014739,72505914702,F2973"
4,"Boston, MA, United States",2022-12-23,13.9,-5.0,7.7,13.9,-13.9,4.3,5.2,85.1,18.7,100,79.17,rain,0,0,85.3,65.3,154.8,994.2,96.0,9.2,17.7,1.5,1,10,2022-12-23T07:11:11,2022-12-23T16:15:41,0.0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KOWD,72509854704,BLUM3,KBED,0518W,KBOS,72509014739,72505914702,OXBM3"
5,"Boston, MA, United States",2022-12-24,-7.1,-11.6,-9.2,-14.6,-22.1,-18.5,-17.8,50.2,0.0,0,0.0,,0,0,58.9,47.4,232.8,1003.2,36.5,16.0,67.8,5.9,3,10,2022-12-24T07:11:36,2022-12-24T16:16:16,0.04,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"F6146,KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702,OXBM3"
6,"Boston, MA, United States",2022-12-25,-2.8,-10.0,-6.6,-9.1,-20.1,-14.2,-15.5,49.7,0.0,0,0.0,,0,0,48.2,34.5,235.4,1010.1,20.4,16.0,68.4,5.8,3,10,2022-12-25T07:11:59,2022-12-25T16:16:53,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F6146,KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702,OXBM3"
7,"Boston, MA, United States",2022-12-26,1.2,-5.7,-2.7,-2.2,-13.5,-8.3,-12.3,48.2,0.0,0,0.0,,0,0,37.1,26.9,258.0,1019.5,51.9,16.0,70.8,6.0,3,10,2022-12-26T07:12:20,2022-12-26T16:17:33,0.11,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702,AT213,OXBM3"
