,datetime,description
0,2022-12-19,Becoming cloudy in the afternoon.
1,2022-12-20,Partly cloudy throughout the day.
2,2022-12-21,Clearing in the afternoon.
3,2022-12-22,Partly cloudy throughout the day with late afternoon rain.
4,2022-12-23,Cloudy skies throughout the day with a chance of rain throughout the day.
5,2022-12-24,Becoming cloudy in the afternoon.
6,2022-12-25,Partly cloudy throughout the day.
7,2022-12-26,Becoming cloudy in the afternoon.
