,datetime,temp
0,2022-09-26,18.6
1,2022-09-27,18.5
2,2022-09-28,17.1
3,2022-09-29,14.4
4,2022-09-30,12.1
5,2022-10-01,12.9
6,2022-10-02,12.8
7,2022-10-03,11.9
