,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2022-09-26,23.4,14.9,18.6,23.4,14.9,18.6,13.9,76.2,6.853,100,25.0,rain,0,0,50.0,33.2,223.2,1004.0,59.6,15.3,115.8,9.9,6,10,2022-09-26T06:35:52,2022-09-26T18:34:31,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1,"Boston, MA, United States",2022-09-27,23.8,14.9,18.5,23.8,14.9,18.5,11.1,66.3,0.0,0,0.0,,0,0,46.4,34.8,220.3,1009.4,58.2,15.9,113.4,9.7,5,10,2022-09-27T06:36:56,2022-09-27T18:32:46,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2,"Boston, MA, United States",2022-09-28,21.7,13.7,17.1,21.7,13.7,17.1,9.3,61.0,0.0,0,0.0,,0,0,37.1,20.3,280.7,1016.7,50.2,16.0,133.9,11.6,6,10,2022-09-28T06:38:01,2022-09-28T18:31:00,0.1,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
3,"Boston, MA, United States",2022-09-29,18.4,11.6,14.4,18.4,11.6,14.4,7.9,65.6,0.0,0,0.0,,0,0,42.5,23.9,339.3,1026.0,43.6,16.0,108.1,9.3,5,10,2022-09-29T06:39:07,2022-09-29T18:29:15,0.13,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
4,"Boston, MA, United States",2022-09-30,15.0,8.7,12.1,15.0,7.0,11.8,6.7,69.9,0.0,0,0.0,,0,0,28.1,18.1,38.6,1026.7,87.1,15.9,112.3,9.8,5,10,2022-09-30T06:40:12,2022-09-30T18:27:31,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
5,"Boston, MA, United States",2022-10-01,14.3,11.0,12.9,14.3,11.0,12.9,8.0,72.9,0.601,100,16.67,rain,0,0,31.7,20.2,17.7,1020.4,98.7,16.0,28.8,2.5,1,10,2022-10-01T06:41:18,2022-10-01T18:25:46,0.21,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
6,"Boston, MA, United States",2022-10-02,14.3,11.1,12.8,14.3,11.1,12.8,5.4,61.7,0.0,0,0.0,,0,0,66.1,45.9,39.3,1022.2,93.3,16.0,83.0,7.1,4,10,2022-10-02T06:42:23,2022-10-02T18:24:02,0.25,Overcast,Cloudy skies throughout the day.,cloudy,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
7,"Boston, MA, United States",2022-10-03,12.9,11.1,11.9,12.9,11.1,11.9,4.0,58.7,0.0,0,0.0,,0,0,51.0,40.1,52.0,1025.3,94.0,16.0,67.0,5.7,3,10,2022-10-03T06:43:30,2022-10-03T18:22:18,0.28,Overcast,Cloudy skies throughout the day.,cloudy,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
