,datetime,description
0,2022-09-26,Partly cloudy throughout the day with rain.
1,2022-09-27,Partly cloudy throughout the day.
2,2022-09-28,Becoming cloudy in the afternoon.
3,2022-09-29,Becoming cloudy in the afternoon.
4,2022-09-30,Partly cloudy throughout the day.
5,2022-10-01,Cloudy skies throughout the day with rain in the morning and afternoon.
6,2022-10-02,Cloudy skies throughout the day.
7,2022-10-03,Cloudy skies throughout the day.
