,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2023-01-02,10.7,2.7,6.3,10.7,0.2,4.2,0.3,66.4,0.0,0,0.0,,0.0,0.0,37.1,22.1,272.2,1018.4,57.3,16.0,35.1,3.3,2,10,2023-01-02T07:13:40,2023-01-02T16:23:02,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702,F2973,OXBM3"
1,"Boston, MA, United States",2023-01-03,7.2,1.6,4.5,7.2,-0.6,2.9,3.5,93.1,12.175,100,62.5,rain,0.0,0.0,16.6,16.1,358.8,1016.1,97.0,8.5,5.7,0.6,0,10,2023-01-03T07:13:41,2023-01-03T16:23:57,0.39,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,AV085,72509854704,BLUM3,KBED,0518W,KBOS,72509014739,72505914702"
2,"Boston, MA, United States",2023-01-04,7.2,4.4,5.6,6.7,2.1,4.1,4.7,94.2,7.196,100,41.67,rain,0.0,0.0,29.5,16.1,58.5,1012.2,100.0,10.4,25.5,2.1,2,10,2023-01-04T07:13:41,2023-01-04T16:24:53,0.42,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,AV085,72509854704,BLUM3,KBED,0518W,KBOS,72509014739,72505914702,F7922,OXBM3"
3,"Boston, MA, United States",2023-01-05,7.3,2.2,4.9,4.1,-2.3,0.6,4.2,95.6,3.853,100,58.33,rain,0.0,0.0,44.3,31.1,22.3,1015.6,100.0,7.9,17.4,1.4,1,10,2023-01-05T07:13:38,2023-01-05T16:25:50,0.46,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,F6999,72505914702,OXBM3"
4,"Boston, MA, United States",2023-01-06,2.2,0.7,1.4,-0.9,-3.5,-2.3,0.7,95.6,4.959,100,50.0,"rain,snow",1.8,0.2,31.3,17.9,340.7,1016.2,100.0,6.5,8.5,0.7,0,10,2023-01-06T07:13:33,2023-01-06T16:26:49,0.5,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,F6999,72505914702"
5,"Boston, MA, United States",2023-01-07,6.2,0.6,3.2,3.0,-4.1,-0.2,-0.5,78.0,0.0,0,0.0,,0.0,0.0,38.9,23.6,296.0,1018.1,81.9,13.5,50.7,4.2,3,10,2023-01-07T07:13:25,2023-01-07T16:27:50,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,F6999,72505914702,F2973,OXBM3"
6,"Boston, MA, United States",2023-01-08,2.9,-3.9,-0.9,0.7,-9.7,-5.3,-8.2,58.7,0.0,0,0.0,,0.0,0.0,38.9,23.8,274.5,1023.7,19.3,16.0,69.0,6.0,3,10,2023-01-08T07:13:15,2023-01-08T16:28:51,0.56,Clear,Clear conditions throughout the day.,clear-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,F6999,72505914702,OXBM3"
7,"Boston, MA, United States",2023-01-09,5.7,-1.7,1.9,2.9,-6.0,-2.0,-3.6,67.9,0.0,0,0.0,,0.2,0.0,35.3,20.3,261.1,1012.8,58.9,15.9,66.2,5.7,4,10,2023-01-09T07:13:03,2023-01-09T16:29:55,0.59,Partially cloudy,Partly cloudy throughout the day.,snow,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702,OXBM3"
