,datetime,description
0,2023-01-02,Partly cloudy throughout the day.
1,2023-01-03,Cloudy skies throughout the day with rain.
2,2023-01-04,Cloudy skies throughout the day with rain.
3,2023-01-05,Cloudy skies throughout the day with a chance of rain throughout the day.
4,2023-01-06,Cloudy skies throughout the day with rain or snow.
5,2023-01-07,Partly cloudy throughout the day.
6,2023-01-08,Clear conditions throughout the day.
7,2023-01-09,Partly cloudy throughout the day.
