,datetime,description
0,2023-03-13,Cloudy skies throughout the day with rain.
1,2023-03-14,Cloudy skies throughout the day with a chance of rain or snow throughout the day.
2,2023-03-15,Partly cloudy throughout the day with early morning snow or rain.
3,2023-03-16,Partly cloudy throughout the day.
4,2023-03-17,Cloudy skies throughout the day.
5,2023-03-18,Partly cloudy throughout the day with morning rain.
6,2023-03-19,Partly cloudy throughout the day.
7,2023-03-20,Clear conditions throughout the day.
