,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2023-03-13,5.7,2.1,4.1,3.3,-0.5,1.5,1.1,81.4,5.043,100,37.5,rain,0.0,0.0,40.7,22.2,69.0,1016.0,98.0,15.2,40.2,3.4,2,10,2023-03-13T06:59:55,2023-03-13T18:48:14,0.72,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1,"Boston, MA, United States",2023-03-14,5.0,0.7,3.1,0.5,-5.5,-2.9,2.3,94.6,59.02,100,100.0,"rain,snow",2.0,1.1,71.7,56.7,32.6,996.6,100.0,5.0,32.0,2.7,2,10,2023-03-14T06:58:12,2023-03-14T18:49:24,0.75,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2,"Boston, MA, United States",2023-03-15,6.1,0.7,3.1,0.8,-6.2,-2.7,-2.4,68.7,1.101,100,12.5,"rain,snow",1.8,2.1,66.4,46.3,319.7,1000.4,80.8,14.3,118.4,10.1,7,10,2023-03-15T06:56:29,2023-03-15T18:50:34,0.79,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,snow,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
3,"Boston, MA, United States",2023-03-16,10.0,1.2,5.6,7.2,-4.5,1.6,-6.2,43.8,0.0,0,0.0,,0.0,0.0,47.1,32.9,297.7,1011.8,62.4,16.0,136.9,11.8,6,10,2023-03-16T06:54:46,2023-03-16T18:51:43,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
4,"Boston, MA, United States",2023-03-17,11.2,3.8,7.6,11.2,1.4,6.5,1.4,65.3,0.0,0,0.0,,0.0,0.0,35.3,23.9,171.9,1007.9,91.2,16.0,114.4,10.0,4,10,2023-03-17T06:53:02,2023-03-17T18:52:53,0.86,Overcast,Cloudy skies throughout the day.,cloudy,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
5,"Boston, MA, United States",2023-03-18,11.7,4.9,8.6,11.7,2.4,6.5,-0.9,53.7,0.006,100,4.17,rain,0.0,0.0,46.2,31.3,281.8,1003.0,67.2,16.0,124.4,10.8,6,10,2023-03-18T06:51:18,2023-03-18T18:54:02,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"F2140,KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
6,"Boston, MA, United States",2023-03-19,4.8,-0.7,1.6,2.0,-8.0,-4.1,-11.5,37.9,0.0,0,0.0,,0.0,0.0,71.5,47.6,276.3,1011.1,39.2,16.0,188.5,16.2,7,10,2023-03-19T06:49:34,2023-03-19T18:55:11,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
7,"Boston, MA, United States",2023-03-20,11.2,-1.7,4.2,11.2,-7.4,0.6,-9.6,38.7,0.0,0,0.0,,0.0,0.0,47.5,29.3,234.9,1021.7,9.6,16.0,185.6,16.1,7,10,2023-03-20T06:47:50,2023-03-20T18:56:20,0.96,Clear,Clear conditions throughout the day.,clear-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
