,datetime,description
0,2023-01-23,Cloudy skies throughout the day with a chance of rain or snow throughout the day.
1,2023-01-24,Partly cloudy throughout the day.
2,2023-01-25,Partly cloudy throughout the day with late afternoon rain or snow.
3,2023-01-26,Cloudy skies throughout the day with a chance of rain throughout the day.
4,2023-01-27,Clearing in the afternoon.
5,2023-01-28,Partly cloudy throughout the day.
6,2023-01-29,Cloudy skies throughout the day.
7,2023-01-30,Partly cloudy throughout the day.
