,datetime,description
0,2022-09-19,Cloudy skies throughout the day with rain.
1,2022-09-20,Cloudy skies throughout the day with rain.
2,2022-09-21,Partly cloudy throughout the day with early morning rain.
3,2022-09-22,Partly cloudy throughout the day with rain in the morning and afternoon.
4,2022-09-23,Partly cloudy throughout the day.
5,2022-09-24,Partly cloudy throughout the day.
6,2022-09-25,Partly cloudy throughout the day.
7,2022-09-26,Partly cloudy throughout the day with rain.
