,datetime,temp
0,2022-09-19,17.6
1,2022-09-20,15.8
2,2022-09-21,16.7
3,2022-09-22,17.9
4,2022-09-23,12.4
5,2022-09-24,14.3
6,2022-09-25,16.2
7,2022-09-26,18.6
