,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2022-09-19,22.2,15.0,17.6,22.2,15.0,17.6,15.9,89.7,9.798,100,25.0,rain,0,0,25.9,21.9,54.5,1012.9,95.8,13.5,42.5,3.7,2,10,2022-09-19T06:28:22,2022-09-19T18:46:54,0.8,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1,"Boston, MA, United States",2022-09-20,17.2,15.0,15.8,17.2,15.0,15.8,13.9,88.5,0.294,100,8.33,rain,0,0,25.6,22.0,48.5,1011.5,99.9,14.8,30.1,2.6,1,10,2022-09-20T06:29:26,2022-09-20T18:45:08,0.83,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2,"Boston, MA, United States",2022-09-21,20.1,13.9,16.7,20.1,13.9,16.7,13.0,79.1,0.044,100,12.5,rain,0,0,33.5,21.9,265.8,1012.5,75.5,15.8,76.3,6.6,3,10,2022-09-21T06:30:30,2022-09-21T18:43:22,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
3,"Boston, MA, United States",2022-09-22,21.2,13.8,17.9,21.2,13.8,17.9,15.8,87.3,18.911,100,37.5,rain,0,0,51.7,29.3,233.7,1002.2,75.8,13.3,22.9,1.9,1,10,2022-09-22T06:31:34,2022-09-22T18:41:35,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
4,"Boston, MA, United States",2022-09-23,16.2,10.0,12.4,16.2,6.6,12.2,4.3,58.8,0.0,0,0.0,,0,0,69.6,44.1,315.9,1007.6,33.4,16.0,135.3,11.8,6,10,2022-09-23T06:32:38,2022-09-23T18:39:49,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
5,"Boston, MA, United States",2022-09-24,20.0,9.3,14.3,20.0,5.6,13.2,2.7,47.2,0.0,0,0.0,,0,0,50.3,34.8,294.1,1010.4,20.3,16.0,138.7,11.9,5,10,2022-09-24T06:33:43,2022-09-24T18:38:03,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
6,"Boston, MA, United States",2022-09-25,20.6,10.5,16.2,20.6,10.5,16.2,10.9,72.0,0.0,0,0.0,,0,0,36.7,23.8,204.5,1007.2,67.6,16.0,87.5,7.6,5,10,2022-09-25T06:34:47,2022-09-25T18:36:17,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
7,"Boston, MA, United States",2022-09-26,23.4,14.9,18.6,23.4,14.9,18.6,13.9,76.2,6.853,100,25.0,rain,0,0,50.0,33.2,223.2,1004.0,59.6,15.3,115.8,9.9,6,10,2022-09-26T06:35:52,2022-09-26T18:34:31,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
