,datetime,temp
0,2022-10-31,13.6
1,2022-11-01,16.0
2,2022-11-02,15.0
3,2022-11-03,12.2
4,2022-11-04,15.5
5,2022-11-05,18.7
6,2022-11-06,20.9
7,2022-11-07,19.9
