,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2022-11-28,13.9,3.8,9.9,13.9,-0.8,8.6,3.1,63.5,1.959,100,8.33,rain,0,0,55.4,33.2,293.3,1001.9,36.7,15.1,37.7,3.2,2,10,2022-11-28T06:50:36,2022-11-28T16:13:38,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702,AV429"
1,"Boston, MA, United States",2022-11-29,5.7,0.5,3.7,5.6,-3.6,1.1,-2.7,63.5,0.0,0,0.0,,0,0,40.0,20.0,335.3,1024.1,66.7,16.0,39.2,3.3,2,10,2022-11-29T06:51:43,2022-11-29T16:13:14,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702,AT213"
2,"Boston, MA, United States",2022-11-30,14.4,3.2,9.4,14.4,0.8,7.9,5.9,78.7,16.962,100,33.33,rain,0,0,70.0,46.0,182.0,1014.7,98.4,13.5,17.6,1.6,1,10,2022-11-30T06:52:49,2022-11-30T16:12:53,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,F6999,72505914702,OXBM3"
3,"Boston, MA, United States",2022-12-01,6.2,2.8,4.4,2.7,-2.4,-0.3,-6.9,44.3,0.0,0,0.0,,0,0,62.7,36.8,275.8,1017.5,43.0,16.0,67.9,5.8,4,10,2022-12-01T06:53:53,2022-12-01T16:12:34,0.27,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702,AT213"
4,"Boston, MA, United States",2022-12-02,7.2,1.1,4.1,5.3,-2.6,0.9,-4.1,56.2,0.0,0,0.0,,0,0,31.0,20.2,226.3,1031.7,53.8,16.0,69.4,6.0,3,10,2022-12-02T06:54:57,2022-12-02T16:12:17,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,F6999,72505914702,OXBM3"
5,"Boston, MA, United States",2022-12-03,15.0,3.8,10.2,15.0,0.7,8.9,6.7,79.6,4.195,100,37.5,rain,0,0,66.3,44.1,211.1,1019.1,93.3,13.9,14.3,1.3,1,10,2022-12-03T06:55:59,2022-12-03T16:12:03,0.34,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,F6999,72505914702,OXBM3"
6,"Boston, MA, United States",2022-12-04,6.1,1.0,4.3,3.3,-1.3,1.1,-6.2,47.1,0.0,0,0.0,,0,0,46.3,24.0,295.4,1020.0,35.4,16.0,66.8,5.8,4,10,2022-12-04T06:57:00,2022-12-04T16:11:51,0.38,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702,OXBM3"
7,"Boston, MA, United States",2022-12-05,9.4,-1.3,4.1,6.1,-4.6,1.1,-1.9,66.1,0.0,0,0.0,,0,0,37.1,27.5,186.5,1025.6,39.1,16.0,68.5,5.9,3,10,2022-12-05T06:58:00,2022-12-05T16:11:41,0.41,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,F6999,72505914702,OXBM3"
