,datetime,temp
0,2023-02-20,10.8
1,2023-02-21,3.8
2,2023-02-22,4.0
3,2023-02-23,-0.5
4,2023-02-24,-1.4
5,2023-02-25,-8.3
6,2023-02-26,-2.8
7,2023-02-27,-1.6
