,datetime,description
0,2023-02-20,Partly cloudy throughout the day.
1,2023-02-21,Cloudy skies throughout the day with a chance of rain or snow throughout the day.
2,2023-02-22,Partly cloudy throughout the day with rain or snow.
3,2023-02-23,Cloudy skies throughout the day with a chance of rain or snow throughout the day.
4,2023-02-24,Partly cloudy throughout the day with early morning snow or rain.
5,2023-02-25,Partly cloudy throughout the day with snow.
6,2023-02-26,Partly cloudy throughout the day.
7,2023-02-27,Partly cloudy throughout the day.
