,datetime,description
0,2023-03-27,Becoming cloudy in the afternoon with late afternoon rain.
1,2023-03-28,Partly cloudy throughout the day with a chance of rain throughout the day.
2,2023-03-29,Becoming cloudy in the afternoon.
3,2023-03-30,Partly cloudy throughout the day.
4,2023-03-31,Partly cloudy throughout the day with late afternoon rain.
5,2023-04-01,Partly cloudy throughout the day with a chance of rain throughout the day.
6,2023-04-02,Clearing in the afternoon.
7,2023-04-03,Becoming cloudy in the afternoon.
