,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2023-03-27,12.3,4.1,7.9,12.3,1.9,6.3,-2.5,49.9,4.103,100,12.5,rain,0,0,27.7,27.2,117.5,1016.8,47.4,15.9,172.2,14.9,8,10,2023-03-27T06:35:40,2023-03-27T19:04:19,0.19,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1,"Boston, MA, United States",2023-03-28,6.8,2.9,4.6,4.5,-0.8,2.5,0.9,78.5,10.029,100,58.33,rain,0,0,22.3,23.6,26.6,1017.5,86.3,15.3,59.9,5.2,4,10,2023-03-28T06:33:56,2023-03-28T19:05:27,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2,"Boston, MA, United States",2023-03-29,7.4,1.0,4.6,4.6,-2.7,1.3,-3.1,57.8,0.0,0,0.0,,0,0,31.3,26.8,137.7,1018.7,39.5,16.0,200.6,17.3,7,10,2023-03-29T06:32:12,2023-03-29T19:06:35,0.26,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
3,"Boston, MA, United States",2023-03-30,5.0,0.0,3.0,0.8,-6.6,-2.1,-11.0,37.8,0.0,0,0.0,,0,0,51.7,31.6,291.1,1020.4,32.4,16.0,196.6,17.0,7,10,2023-03-30T06:30:29,2023-03-30T19:07:42,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
4,"Boston, MA, United States",2023-03-31,7.9,0.5,3.6,4.7,-3.9,-0.4,-6.0,52.6,3.687,100,20.83,rain,0,0,42.4,31.4,183.7,1024.4,64.5,15.0,149.5,12.9,7,10,2023-03-31T06:28:45,2023-03-31T19:08:50,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KOWD,AV085,KBED,0518W,KBOS"
5,"Boston, MA, United States",2023-04-01,16.8,4.9,9.1,16.8,1.3,8.6,7.8,92.5,7.9,100,37.5,rain,0,0,40.7,31.5,217.7,1000.2,85.2,8.3,39.2,3.5,2,10,2023-04-01T06:27:02,2023-04-01T19:09:58,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KOWD,AV085,KBED,0518W,KBOS"
6,"Boston, MA, United States",2023-04-02,13.3,2.8,7.5,13.3,-1.2,4.1,-6.3,40.9,0.0,0,0.0,,0,0,59.2,38.7,313.4,1007.0,54.2,16.0,203.0,17.3,7,10,2023-04-02T06:25:19,2023-04-02T19:11:06,0.39,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KOWD,KBED,0518W,KBOS"
7,"Boston, MA, United States",2023-04-03,11.2,-0.1,5.9,11.2,-2.8,3.6,-7.2,39.5,0.0,0,0.0,,0,0,53.5,40.2,207.2,1019.1,40.2,16.0,205.1,17.7,7,10,2023-04-03T06:23:36,2023-04-03T19:12:13,0.42,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,KBED,0518W,KBOS"
