,datetime,description
0,2022-11-21,Becoming cloudy in the afternoon.
1,2022-11-22,Partly cloudy throughout the day.
2,2022-11-23,Partly cloudy throughout the day.
3,2022-11-24,Becoming cloudy in the afternoon.
4,2022-11-25,Partly cloudy throughout the day with afternoon rain.
5,2022-11-26,Partly cloudy throughout the day.
6,2022-11-27,Partly cloudy throughout the day with rain.
7,2022-11-28,Partly cloudy throughout the day with early morning rain.
