,datetime,description
0,2022-08-29,Clearing in the afternoon.
1,2022-08-30,Partly cloudy throughout the day.
2,2022-08-31,Partly cloudy throughout the day with rain clearing later.
3,2022-09-01,Clearing in the afternoon.
4,2022-09-02,Clear conditions throughout the day.
5,2022-09-03,Partly cloudy throughout the day.
6,2022-09-04,Partly cloudy throughout the day.
7,2022-09-05,Cloudy skies throughout the day with a chance of rain throughout the day.
