,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2022-10-10,18.4,9.8,13.1,18.4,8.6,13.0,6.6,66.1,0.777,100,8.33,rain,0,0,30.2,25.6,227.3,1021.7,80.0,15.9,67.3,5.8,3,10,2022-10-10T06:51:19,2022-10-10T18:10:26,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1,"Boston, MA, United States",2022-10-11,18.4,8.7,13.7,18.4,7.6,13.5,5.9,63.4,0.0,0,0.0,,0,0,25.9,16.6,258.7,1024.6,29.2,15.8,122.0,10.5,5,10,2022-10-11T06:52:28,2022-10-11T18:08:46,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702,AV429"
2,"Boston, MA, United States",2022-10-12,23.8,10.4,16.5,23.8,10.4,16.5,8.2,61.3,0.0,0,0.0,,0,0,44.3,27.4,215.7,1022.0,36.1,15.9,116.8,10.1,5,10,2022-10-12T06:53:36,2022-10-12T18:07:07,0.59,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
3,"Boston, MA, United States",2022-10-13,19.4,13.2,16.5,19.4,13.2,16.5,13.9,85.6,22.711,100,37.5,rain,0,0,49.0,31.1,152.3,1015.8,84.3,12.8,27.5,2.3,1,10,2022-10-13T06:54:45,2022-10-13T18:05:29,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
4,"Boston, MA, United States",2022-10-14,20.0,15.6,17.7,20.0,15.6,17.7,15.9,89.9,33.325,100,54.17,rain,0,0,56.6,31.1,185.6,1011.0,90.7,11.1,55.3,4.8,4,10,2022-10-14T06:55:55,2022-10-14T18:03:52,0.65,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702,AV429"
5,"Boston, MA, United States",2022-10-15,21.7,11.6,15.5,21.7,11.6,15.5,8.3,66.2,0.0,0,0.0,rain,0,0,26.3,20.0,252.7,1015.4,21.3,15.9,118.3,10.2,5,10,2022-10-15T06:57:04,2022-10-15T18:02:15,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
6,"Boston, MA, United States",2022-10-16,19.4,11.1,14.3,19.4,11.1,14.3,9.9,76.0,0.0,0,0.0,rain,0,0,21.2,16.0,131.6,1013.1,30.6,15.9,110.1,9.5,5,10,2022-10-16T06:58:14,2022-10-16T18:00:39,0.72,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
7,"Boston, MA, United States",2022-10-17,15.7,10.5,13.2,15.7,10.5,13.2,10.8,85.8,6.433,100,29.17,rain,0,0,28.4,20.9,94.5,1007.4,93.8,14.4,30.0,2.7,2,10,2022-10-17T06:59:24,2022-10-17T17:59:05,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
