,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2023-03-20,11.2,-1.7,4.2,11.2,-7.4,0.6,-9.6,38.7,0.0,0,0.0,,0,0,47.5,29.3,234.9,1021.7,9.6,16.0,185.6,16.1,7,10,2023-03-20T06:47:50,2023-03-20T18:56:20,0.96,Clear,Clear conditions throughout the day.,clear-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1,"Boston, MA, United States",2023-03-21,13.9,1.6,8.5,13.9,-2.6,7.0,-5.2,40.2,0.0,0,0.0,,0,0,44.4,31.4,259.8,1025.2,31.9,16.0,188.5,16.2,7,10,2023-03-21T06:46:06,2023-03-21T18:57:29,0.0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2,"Boston, MA, United States",2023-03-22,10.5,3.7,7.4,10.5,1.2,4.7,0.9,65.5,0.0,0,0.0,,0,0,24.1,27.4,72.8,1027.9,81.3,15.9,171.3,14.8,6,10,2023-03-22T06:44:22,2023-03-22T18:58:37,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
3,"Boston, MA, United States",2023-03-23,15.7,7.9,11.4,15.7,5.9,10.7,6.6,73.8,0.006,100,4.17,rain,0,0,55.4,31.4,207.9,1012.5,94.9,15.9,76.0,6.4,4,10,2023-03-23T06:42:37,2023-03-23T18:59:46,0.06,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
4,"Boston, MA, United States",2023-03-24,12.9,5.0,8.7,12.9,1.5,6.7,-1.0,51.9,0.0,0,0.0,,0,0,37.1,25.8,312.1,1012.1,87.2,16.0,132.0,11.5,6,10,2023-03-24T06:40:53,2023-03-24T19:00:54,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
5,"Boston, MA, United States",2023-03-25,5.0,0.6,3.6,1.0,-2.8,-1.0,-0.8,74.3,1.149,100,33.33,rain,0,0,53.4,38.4,88.8,1018.7,93.3,13.7,33.8,2.8,1,10,2023-03-25T06:39:09,2023-03-25T19:02:02,0.13,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
6,"Boston, MA, United States",2023-03-26,13.9,5.0,9.1,13.9,1.1,7.5,0.2,60.7,0.783,100,8.33,rain,0,0,59.1,43.9,280.2,1008.8,52.1,12.5,177.8,15.2,9,10,2023-03-26T06:37:25,2023-03-26T19:03:11,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
7,"Boston, MA, United States",2023-03-27,12.3,4.1,7.9,12.3,1.9,6.3,-2.5,49.9,4.103,100,12.5,rain,0,0,27.7,27.2,117.5,1016.8,47.4,15.9,172.2,14.9,8,10,2023-03-27T06:35:40,2023-03-27T19:04:19,0.19,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
