,datetime,description
0,2023-03-20,Clear conditions throughout the day.
1,2023-03-21,Clearing in the afternoon.
2,2023-03-22,Partly cloudy throughout the day.
3,2023-03-23,Cloudy skies throughout the day with afternoon rain.
4,2023-03-24,Partly cloudy throughout the day.
5,2023-03-25,Cloudy skies throughout the day with rain.
6,2023-03-26,Partly cloudy throughout the day with early morning rain.
7,2023-03-27,Becoming cloudy in the afternoon with late afternoon rain.
