,datetime,description
0,2023-01-30,Partly cloudy throughout the day.
1,2023-01-31,Partly cloudy throughout the day with rain or snow clearing later.
2,2023-02-01,Clearing in the afternoon.
3,2023-02-02,Partly cloudy throughout the day.
4,2023-02-03,Partly cloudy throughout the day with morning snow.
5,2023-02-04,Becoming cloudy in the afternoon.
6,2023-02-05,Cloudy skies throughout the day.
7,2023-02-06,Partly cloudy throughout the day.
