,datetime,description
0,2022-11-07,Clearing in the afternoon with morning rain.
1,2022-11-08,Clear conditions throughout the day.
2,2022-11-09,Clear conditions throughout the day.
3,2022-11-10,Clear conditions throughout the day.
4,2022-11-11,Cloudy skies throughout the day with late afternoon rain.
5,2022-11-12,Partly cloudy throughout the day with rain clearing later.
6,2022-11-13,Partly cloudy throughout the day with rain in the morning and afternoon.
7,2022-11-14,Partly cloudy throughout the day.
