,datetime,description
0,2022-09-05,Cloudy skies throughout the day with a chance of rain throughout the day.
1,2022-09-06,Cloudy skies throughout the day with a chance of rain throughout the day.
2,2022-09-07,Partly cloudy throughout the day.
3,2022-09-08,Clearing in the afternoon.
4,2022-09-09,Clear conditions throughout the day.
5,2022-09-10,Partly cloudy throughout the day.
6,2022-09-11,Cloudy skies throughout the day with rain.
7,2022-09-12,Partly cloudy throughout the day with rain clearing later.
