,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2022-09-05,22.9,17.9,20.3,22.9,17.9,20.3,19.0,92.1,9.822,100,79.17,rain,0,0,28.4,23.7,45.3,1020.4,98.9,13.1,33.4,2.9,2,30,2022-09-05T06:13:36,2022-09-05T19:11:29,0.33,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1,"Boston, MA, United States",2022-09-06,18.4,16.8,17.7,18.4,16.8,17.7,16.7,93.6,16.596,100,100.0,rain,0,0,31.0,23.5,47.6,1019.6,100.0,11.7,28.3,2.3,1,10,2022-09-06T06:14:39,2022-09-06T19:09:45,0.37,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2,"Boston, MA, United States",2022-09-07,21.7,15.6,18.5,21.7,15.6,18.5,15.2,81.8,0.0,0,0.0,,0,0,34.9,23.8,41.5,1017.4,69.8,15.9,134.1,11.7,6,10,2022-09-07T06:15:42,2022-09-07T19:08:01,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
3,"Boston, MA, United States",2022-09-08,21.8,14.9,18.1,21.8,14.9,18.1,14.3,79.5,0.0,0,0.0,,0,0,29.5,23.9,43.3,1014.3,36.7,15.9,169.2,14.9,6,10,2022-09-08T06:16:46,2022-09-08T19:06:17,0.44,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
4,"Boston, MA, United States",2022-09-09,23.5,14.8,19.1,23.5,14.8,19.1,14.8,77.4,0.0,0,0.0,,0,0,21.2,14.4,59.1,1017.6,17.5,15.9,162.1,14.2,6,10,2022-09-09T06:17:49,2022-09-09T19:04:32,0.47,Clear,Clear conditions throughout the day.,clear-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
5,"Boston, MA, United States",2022-09-10,26.3,19.1,22.4,26.3,19.1,22.4,15.5,65.8,0.0,0,0.0,,0,0,21.2,16.4,45.1,1021.8,33.5,15.9,153.2,13.3,5,10,2022-09-10T06:18:52,2022-09-10T19:02:47,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
6,"Boston, MA, United States",2022-09-11,26.7,20.6,23.1,26.7,20.6,23.1,15.9,64.5,0.013,100,8.33,rain,0,0,28.8,25.3,255.5,1019.0,94.2,15.9,62.7,5.5,3,10,2022-09-11T06:19:55,2022-09-11T19:01:02,0.54,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
7,"Boston, MA, United States",2022-09-12,23.9,18.9,21.3,23.9,18.9,21.3,18.5,84.5,0.03,100,20.83,rain,0,0,31.3,18.0,193.3,1011.2,88.1,15.9,73.5,6.5,4,10,2022-09-12T06:20:58,2022-09-12T18:59:17,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
