,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2022-12-26,1.2,-5.7,-2.7,-2.2,-13.5,-8.3,-12.3,48.2,0.0,0,0.0,,0,0,37.1,26.9,258.0,1019.5,51.9,16.0,70.8,6.0,3,10,2022-12-26T07:12:20,2022-12-26T16:17:33,0.11,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702,AT213,OXBM3"
1,"Boston, MA, United States",2022-12-27,1.8,-2.1,-0.7,-2.2,-8.7,-5.4,-10.5,47.7,0.0,0,0.0,,0,0,37.1,25.5,262.2,1023.2,57.8,16.0,56.5,4.8,3,10,2022-12-27T07:12:38,2022-12-27T16:18:14,0.15,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702,OXBM3"
2,"Boston, MA, United States",2022-12-28,6.2,-4.0,1.2,2.6,-8.7,-2.2,-5.7,60.7,0.0,0,0.0,,0,0,40.7,25.5,219.0,1025.2,74.8,16.0,31.8,2.8,2,10,2022-12-28T07:12:54,2022-12-28T16:18:58,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,F0837,72509854704,BLUM3,KBED,0518W,KBOS,72509014739,72505914702,OXBM3"
3,"Boston, MA, United States",2022-12-29,12.3,0.5,5.2,12.3,-2.4,2.9,-1.7,63.0,0.0,0,0.0,,0,0,33.5,18.3,212.8,1024.5,48.2,16.0,58.8,5.0,4,10,2022-12-29T07:13:08,2022-12-29T16:19:43,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2236,KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702,OXBM3"
4,"Boston, MA, United States",2022-12-30,17.2,4.2,9.8,17.2,0.6,8.4,1.2,56.4,0.0,0,0.0,,0,0,31.3,25.4,213.6,1023.2,71.1,16.0,45.5,3.8,3,10,2022-12-30T07:13:20,2022-12-30T16:20:30,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702,F2973,OXBM3"
5,"Boston, MA, United States",2022-12-31,11.8,7.2,10.0,11.8,4.5,8.9,8.8,92.6,7.77,100,45.83,rain,0,0,38.9,21.9,205.6,1015.5,93.8,10.9,10.1,1.0,1,10,2022-12-31T07:13:29,2022-12-31T16:21:19,0.28,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,AV085,72509854704,BLUM3,KBED,0518W,KBOS,72509014739,72505914702,F2973"
6,"Boston, MA, United States",2023-01-01,12.8,6.1,10.4,12.8,2.7,9.3,5.1,70.8,2.641,100,20.83,rain,0,0,47.0,31.4,269.9,1008.4,78.9,15.8,61.9,5.5,4,10,2023-01-01T07:13:35,2023-01-01T16:22:10,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702,F2973,OXBM3"
7,"Boston, MA, United States",2023-01-02,10.7,2.7,6.3,10.7,0.2,4.2,0.3,66.4,0.0,0,0.0,,0,0,37.1,22.1,272.2,1018.4,57.3,16.0,35.1,3.3,2,10,2023-01-02T07:13:40,2023-01-02T16:23:02,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702,F2973,OXBM3"
