,datetime,description
0,2023-04-03,Becoming cloudy in the afternoon.
1,2023-04-04,Partly cloudy throughout the day.
2,2023-04-05,Cloudy skies throughout the day with late afternoon rain.
3,2023-04-06,Cloudy skies throughout the day with a chance of rain.
4,2023-04-07,Partly cloudy throughout the day with a chance of rain.
5,2023-04-08,Partly cloudy throughout the day.
6,2023-04-09,Clear conditions throughout the day.
7,2023-04-10,Partly cloudy throughout the day.
