,datetime,temp
0,2023-04-03,5.9
1,2023-04-04,9.0
2,2023-04-05,6.7
3,2023-04-06,13.3
4,2023-04-07,10.2
5,2023-04-08,5.9
6,2023-04-09,7.6
7,2023-04-10,10.1
