,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2023-04-03,11.2,-0.1,5.9,11.2,-2.8,3.6,-7.2,39.5,0.0,0,0.0,,0,0,53.5,40.2,207.2,1019.1,40.2,16.0,205.1,17.7,7,10,2023-04-03T06:23:36,2023-04-03T19:12:13,0.42,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,KBED,0518W,KBOS"
1,"Boston, MA, United States",2023-04-04,11.9,6.1,9.0,11.9,3.8,7.5,4.8,75.7,0.0,15,0.0,,0,0,27.7,22.2,71.9,1019.1,70.8,15.7,152.5,13.0,7,10,2023-04-04T06:21:54,2023-04-04T19:13:21,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,KBED,0518W,KBOS"
2,"Boston, MA, United States",2023-04-05,8.4,5.0,6.7,6.2,0.0,3.1,2.8,76.1,1.6,53,8.33,rain,0,0,44.3,33.5,59.7,1027.3,92.6,4.8,33.2,2.9,1,10,2023-04-05T06:20:12,2023-04-05T19:14:29,0.48,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,
3,"Boston, MA, United States",2023-04-06,18.4,7.3,13.3,18.4,6.5,13.0,9.3,77.0,6.0,75,29.17,rain,0,0,29.0,19.2,227.4,1020.4,90.3,7.4,147.9,12.6,4,10,2023-04-06T06:18:30,2023-04-06T19:15:36,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
4,"Boston, MA, United States",2023-04-07,12.8,6.0,10.2,12.8,1.6,8.5,-1.5,45.3,0.0,75,0.0,rain,0,0,55.8,37.4,287.1,1024.4,55.3,19.2,278.8,24.0,7,10,2023-04-07T06:16:49,2023-04-07T19:16:44,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
5,"Boston, MA, United States",2023-04-08,10.2,2.5,5.9,10.2,-2.3,2.4,-7.3,39.2,0.0,4,0.0,,0,0,39.6,25.8,310.8,1030.7,29.1,24.1,269.0,23.1,7,10,2023-04-08T06:15:08,2023-04-08T19:17:52,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
6,"Boston, MA, United States",2023-04-09,13.4,2.3,7.6,13.4,-0.8,5.8,-4.4,43.8,0.0,2,0.0,,0,0,28.1,19.1,265.9,1029.2,10.0,24.1,302.3,25.9,7,10,2023-04-09T06:13:28,2023-04-09T19:18:59,0.62,Clear,Clear conditions throughout the day.,clear-day,
7,"Boston, MA, United States",2023-04-10,15.3,5.1,10.1,15.3,2.0,8.7,0.0,51.0,0.0,12,0.0,,0,0,38.2,25.9,210.9,1028.2,26.8,24.1,306.4,26.4,7,10,2023-04-10T06:11:48,2023-04-10T19:20:07,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
