,datetime,description
0,2023-03-06,Becoming cloudy in the afternoon.
1,2023-03-07,Partly cloudy throughout the day.
2,2023-03-08,Partly cloudy throughout the day.
3,2023-03-09,Partly cloudy throughout the day.
4,2023-03-10,Partly cloudy throughout the day.
5,2023-03-11,Cloudy skies throughout the day with a chance of rain or snow throughout the day.
6,2023-03-12,Becoming cloudy in the afternoon.
7,2023-03-13,Cloudy skies throughout the day with rain.
