,datetime,description
0,2023-02-06,Partly cloudy throughout the day.
1,2023-02-07,Becoming cloudy in the afternoon with late afternoon rain or snow.
2,2023-02-08,Partly cloudy throughout the day.
3,2023-02-09,Partly cloudy throughout the day.
4,2023-02-10,Clearing in the afternoon.
5,2023-02-11,Partly cloudy throughout the day.
6,2023-02-12,Partly cloudy throughout the day.
7,2023-02-13,Partly cloudy throughout the day.
