,datetime,description
0,2022-10-03,Cloudy skies throughout the day.
1,2022-10-04,Cloudy skies throughout the day with rain.
2,2022-10-05,Cloudy skies throughout the day with a chance of rain throughout the day.
3,2022-10-06,Clearing in the afternoon with early morning rain.
4,2022-10-07,Clearing in the afternoon.
5,2022-10-08,Clearing in the afternoon with morning rain.
6,2022-10-09,Clear conditions throughout the day.
7,2022-10-10,Partly cloudy throughout the day with late afternoon rain.
