,datetime,description
0,2022-10-17,Cloudy skies throughout the day with rain.
1,2022-10-18,Partly cloudy throughout the day with rain clearing later.
2,2022-10-19,Clear conditions throughout the day.
3,2022-10-20,Clear conditions throughout the day.
4,2022-10-21,Clear conditions throughout the day.
5,2022-10-22,Becoming cloudy in the afternoon.
6,2022-10-23,Cloudy skies throughout the day with rain.
7,2022-10-24,Cloudy skies throughout the day with a chance of rain throughout the day.
