,datetime,description
0,2022-10-24,Cloudy skies throughout the day with a chance of rain throughout the day.
1,2022-10-25,Cloudy skies throughout the day with rain.
2,2022-10-26,Cloudy skies throughout the day with a chance of rain throughout the day.
3,2022-10-27,Partly cloudy throughout the day.
4,2022-10-28,Partly cloudy throughout the day.
5,2022-10-29,Partly cloudy throughout the day.
6,2022-10-30,Clear conditions throughout the day.
7,2022-10-31,Partly cloudy throughout the day.
