,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2022-09-12,23.9,18.9,21.3,23.9,18.9,21.3,18.5,84.5,0.03,100,20.83,rain,0,0,31.3,18.0,193.3,1011.2,88.1,15.9,73.5,6.5,4,10,2022-09-12T06:20:58,2022-09-12T18:59:17,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1,"Boston, MA, United States",2022-09-13,22.9,19.3,21.0,22.9,19.3,21.0,20.2,95.5,3.896,100,25.0,rain,0,0,28.8,16.4,139.7,1008.3,86.0,7.3,45.3,3.8,2,30,2022-09-13T06:22:02,2022-09-13T18:57:31,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2,"Boston, MA, United States",2022-09-14,26.7,17.2,22.0,26.9,17.2,22.0,14.5,63.7,0.0,0,0.0,,0,0,38.8,29.2,265.3,1009.6,34.3,16.0,114.5,10.0,5,10,2022-09-14T06:23:05,2022-09-14T18:55:45,0.64,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
3,"Boston, MA, United States",2022-09-15,21.7,15.4,18.6,21.7,15.4,18.6,6.2,46.2,0.0,0,0.0,,0,0,48.8,31.4,306.8,1017.7,28.7,16.0,167.1,14.5,6,10,2022-09-15T06:24:08,2022-09-15T18:53:59,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
4,"Boston, MA, United States",2022-09-16,22.2,12.6,17.2,22.2,12.6,17.2,4.8,44.4,0.0,0,0.0,,0,0,37.1,23.5,316.8,1020.6,33.0,16.0,117.6,10.3,6,10,2022-09-16T06:25:12,2022-09-16T18:52:13,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
5,"Boston, MA, United States",2022-09-17,18.5,11.5,15.7,18.5,11.5,15.7,6.6,55.6,0.0,0,0.0,,0,0,32.8,21.9,111.3,1024.0,38.8,16.0,160.5,13.8,6,10,2022-09-17T06:26:15,2022-09-17T18:50:27,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
6,"Boston, MA, United States",2022-09-18,28.8,16.0,22.2,29.2,16.0,22.3,16.0,70.2,0.016,100,8.33,rain,0,0,41.0,27.6,239.3,1015.6,60.3,16.0,144.0,12.4,5,10,2022-09-18T06:27:19,2022-09-18T18:48:41,0.77,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
7,"Boston, MA, United States",2022-09-19,22.2,15.0,17.6,22.2,15.0,17.6,15.9,89.7,9.798,100,25.0,rain,0,0,25.9,21.9,54.5,1012.9,95.8,13.5,42.5,3.7,2,10,2022-09-19T06:28:22,2022-09-19T18:46:54,0.8,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
